ID,Red,Green,Blue,Predicted Wavelength
06ae6a9f-1a07-47a5-b5c9-2d0fec06c4e1,182,219,104,457.56
c5a00bbd-343e-4b2d-b918-68b9387cd2c3,182,219,104,475.87
21a3f7c9-722b-4d6b-8636-24074bd799b9,182,219,104,473.51
48bb9449-b172-4472-ba48-89ba4fa6534a,182,219,104,487.89
e1d225bf-8953-43e5-b955-ce71e849e990,182,219,104,478.62
883f05d9-d783-4aa0-8815-450782402a17,182,219,104,478.11
c2b997aa-0c58-46d2-8279-8fc992120893,182,219,104,480.48
c55de624-3f9d-4cbe-9663-51462bfb41e7,182,219,104,443.59
a8f0c24a-0615-4a06-aa99-1e9fea2d54ef,182,219,104,473.71
be2959b2-65d8-4664-8bc3-76b7490e2861,182,219,104,468.73
a16ecf31-6618-4c2b-967c-afdabacd6c73,182,219,104,479.96
821e6c64-3891-4df8-ac6c-67ecd3992436,182,219,104,491.98
a183d5dd-4f25-4060-8841-20899e55f542,182,219,104,485.28
3774bbfb-8c7b-48d4-910e-afe39bdafcb1,182,219,104,468.51
8d957e09-b287-4cce-a448-c1ecaa1aa893,182,219,104,487.76
4e0758d6-1ecc-449b-b488-fbcaed507fd6,182,219,104,477.09
ac42c697-c44d-48f5-b249-f1a75dc58b03,182,219,104,480.33
69a589df-d6f8-42b5-90ae-884d4bcc3dc3,182,219,104,452.11
bca215ce-4893-4bcb-9473-b5b0b2fcf55c,182,219,104,465.18
09cb94a6-446e-4c7d-83cb-6c45794c48c5,1,1,2,779.2
7b9b87ae-586e-4706-b2de-f28b7e78ab73,1,1,2,779.11
19861f12-4a85-4150-80f3-4b2f3685f5f1,1,1,2,778.46
cb249f48-8c3f-45dd-acae-55c092990c6d,1,1,2,778.39
0a60b37d-9ef3-4dec-85a9-e2f8a14dae03,107,220,184,481.07
a41befaf-212f-4626-a694-8c0118814533,107,220,184,471.14
5e360f06-e8d2-48ab-b293-37b8f61bd3af,107,220,184,472.61
0ae9b4af-d23d-4beb-92cd-fcb23c447026,105,219,183,485.12
3f9b2e86-b4b0-4339-ab33-914679ea815a,105,219,183,481.23
9aa070d5-0de2-4e42-9cde-69151308eb9f,182,219,104,484.86
702f5754-6b55-4862-a869-c57ab9d0d567,105,219,183,488.39
5009a708-0ca6-4989-a277-76154bf1b785,105,219,183,465.86
51fd394b-6bf3-47f0-8397-1854f1f46986,105,219,183,480.19
81804856-8d87-4559-ae4e-ead7ac5b351f,106,220,184,473.66
d4beb1ba-2a4e-49d0-98f9-bb826a0174ef,106,220,184,476.99
b19e156f-3fe7-46ad-ac9c-436db0f1017b,106,220,184,470.72
db6c03c3-511b-4403-8a80-8cd9ef0b4d3c,106,220,184,470.72
f0d98994-8b66-4ae5-a757-3cf15132d977,105,219,183,470.07
8ecf87d5-5ccf-4c6c-86ce-6bad20496fa8,105,219,183,470.07
379a50c0-ae8c-42af-bf56-7a531251ddf1,105,219,183,470.07
41fb1fe4-6eed-4076-bc44-c0141d892acc,182,219,104,467.9
835301ad-804c-47ed-9efe-fe4eb997e99d,106,220,184,472.32
aca6eac5-f492-4f49-bf70-e9c26f5e2b7f,105,219,183,470.07
da54d5f4-f964-4443-a6d7-ba7ea943605c,182,219,104,474.33
d3060222-5ab0-4c35-bf15-d3f5ff0a9c46,105,219,183,470.07
2f456701-e2f2-4efa-b535-9ce247ade015,182,219,104,489.01
9d1cdf2e-001c-4d3a-95b2-5abee4003ea8,105,219,183,470.07
ca48e289-cacc-4060-96ba-75110df1bdf4,64,60,102,423.83
69b9a80e-f8c3-42b7-ba4c-c31112bfa0d4,64,60,102,423.83
ab1bf599-6883-46ac-a04b-94478e424849,26,54,45,424.97
1f509365-76e0-48c3-85a9-04a23930bace,26,54,45,424.97
e8074ee9-3c7c-427a-98fa-546f6883af64,26,54,45,424.97
3e295714-8b49-4caf-b5eb-f5864eb61bad,26,54,45,424.97
c2f7c516-39c1-4420-ac52-538833acc962,182,219,104,461.54
7f9f7ccd-1289-4bca-9afd-9faf08dc8223,182,219,104,470.67
443e52f3-ff72-4f1a-b536-bb960e357135,182,219,104,473.33
51e2583d-9f71-4a0d-ace4-0614c89bae5e,106,220,184,467.96
9a302abf-a7a8-4485-8148-a9850e4a7a1b,106,220,184,483.45
5c994001-1b49-4b6f-b8ac-c172f1763406,26,54,45,424.97
58b0e2bb-f7bc-48cc-8bf1-792a2cd43e03,3,2,3,779.26
